order_detail_id,order_id,product_id,quantity,unit_price,discount,line_total
DTL_000001,ORD_00001,PROD_0009,1,2850000.0,0.1,2565000.0
DTL_000002,ORD_00001,PROD_0017,1,190000.0,0.0,190000.0
DTL_000003,ORD_00001,PROD_0004,2,9500000.0,0.1,17100000.0
DTL_000004,ORD_00002,PROD_0006,2,2100000.0,0.1,3780000.0
DTL_000005,ORD_00002,PROD_0015,1,690000.0,0.0,690000.0
DTL_000006,ORD_00002,PROD_0029,1,520000.0,0.0,520000.0
DTL_000007,ORD_00003,PROD_0009,1,2850000.0,0.05,2707500.0
DTL_000008,ORD_00003,PROD_0003,1,21900000.0,0.0,21900000.0
DTL_000009,ORD_00004,PROD_0010,1,2200000.0,0.05,2090000.0
DTL_000010,ORD_00005,PROD_0004,1,9500000.0,0.0,9500000.0
DTL_000011,ORD_00006,PROD_0037,2,5200000.0,0.0,10400000.0
DTL_000012,ORD_00006,PROD_0016,1,790000.0,0.0,790000.0
DTL_000013,ORD_00007,PROD_0034,1,180000.0,0.05,171000.0
DTL_000014,ORD_00008,PROD_0024,2,4490000.0,0.0,8980000.0
DTL_000015,ORD_00008,PROD_0017,1,190000.0,0.0,190000.0
DTL_000016,ORD_00009,PROD_0012,1,550000.0,0.0,550000.0
DTL_000017,ORD_00009,PROD_0050,1,1190000.0,0.05,1130500.0
DTL_000018,ORD_00009,PROD_0044,1,890000.0,0.05,845500.0
DTL_000019,ORD_00010,PROD_0020,1,490000.0,0.15,416500.0
DTL_000020,ORD_00011,PROD_0050,1,1190000.0,0.0,1190000.0
DTL_000021,ORD_00012,PROD_0025,1,1350000.0,0.0,1350000.0
DTL_000022,ORD_00012,PROD_0022,3,7900000.0,0.0,23700000.0
DTL_000023,ORD_00012,PROD_0012,2,550000.0,0.05,1045000.0
DTL_000024,ORD_00013,PROD_0043,1,3990000.0,0.0,3990000.0
DTL_000025,ORD_00014,PROD_0023,1,1990000.0,0.0,1990000.0
DTL_000026,ORD_00015,PROD_0048,1,14900000.0,0.0,14900000.0
DTL_000027,ORD_00015,PROD_0044,2,890000.0,0.0,1780000.0
DTL_000028,ORD_00016,PROD_0037,1,5200000.0,0.0,5200000.0
